Wavelength (nm),absorption coefficient,relative refractive index
677.0,0.0049,1.32959478046
678.0,0.00493,1.32955702471
679.0,0.004978,1.329519416
680.0,0.00465,1.32948192587
681.0,0.005038,1.32944452871
682.0,0.00503,1.32940728868
683.0,0.005078,1.32937021432
684.0,0.005126,1.32933326705
685.0,0.00486,1.32929640827
686.0,0.005202,1.32925957903
687.0,0.00525,1.32922269435
688.0,0.005315,1.3291858888
689.0,0.005362,1.32914932571
690.0,0.00516,1.3291131684
691.0,0.005638,1.3290775766
692.0,0.00572,1.32904249335
693.0,0.005803,1.32900769011
694.0,0.005921,1.32897293597
695.0,0.00559,1.328938
696.0,0.006139,1.32890274567
697.0,0.006256,1.32886732586
698.0,0.006391,1.32883194382
699.0,0.006526,1.32879680276
700.0,0.00624,1.32876210157
701.0,0.00683,1.32872783032
702.0,0.006981,1.32869386383
703.0,0.00715,1.32866011563
704.0,0.007354,1.32862649928
705.0,0.00704,1.32859293667
706.0,0.007725,1.32855949022
707.0,0.007927,1.32852617574
708.0,0.008147,1.32849296875
709.0,0.008401,1.32845984475
710.0,0.00827,1.32842678256
711.0,0.008979,1.32839379645
712.0,0.009301,1.32836089298
713.0,0.009694,1.32832807278
714.0,0.010067,1.32829533649
715.0,0.010492,1.3282626694
716.0,0.010952,1.32823001077
717.0,0.01141,1.32819742397
718.0,0.011901,1.3281649911
719.0,0.012427,1.32813279426
720.0,0.01231,1.32810088714
721.0,0.01295,1.3280691993
722.0,0.013489,1.32803771863
723.0,0.014061,1.32800644342
724.0,0.014667,1.32797537193
725.0,0.01489,1.32794455728
726.0,0.015924,1.32791413553
727.0,0.016646,1.32788392953
728.0,0.017607,1.32785373228
729.0,0.018444,1.32782333678
730.0,0.019624,1.3277925239
731.0,0.020801,1.32776121077
732.0,0.021974,1.32772968146
733.0,0.023144,1.32769825409
734.0,0.024482,1.32766724675
735.0,0.025304,1.32763694856
736.0,0.026123,1.32760729226
737.0,0.0264373018381,1.32757802655
738.0,0.026733,1.32754890566
739.0,0.027377,1.32751968382
740.0,0.02768,1.32749012858
741.0,0.027982,1.32746025699
742.0,0.028113,1.32743025388
743.0,0.028245,1.32740029962
744.0,0.028376,1.32737057457
745.0,0.028338,1.32734124843
746.0,0.028468,1.32731226539
747.0,0.02843,1.32728352624
748.0,0.02856,1.32725497015
749.0,0.028522,1.32722653628
750.0,0.028484,1.32719816484
751.0,0.028613,1.32716992013
752.0,0.028575,1.32714182536
753.0,0.028704,1.32711381718
754.0,0.028666,1.32708583223
755.0,0.028794,1.32705780715
756.0,0.028756,1.32702968405
757.0,0.0287185,1.32700149404
758.0,0.028681,1.32697331744
759.0,0.028643,1.32694523475
760.0,0.028605,1.32691732645
761.0,0.028733,1.32688967665
762.0,0.028695,1.32686228154
763.0,0.028657,1.3268350284
764.0,0.0286193611062,1.32680780093
765.0,0.028582,1.32678048279
766.0,0.028545,1.32675294291
767.0,0.028344,1.32672508706
768.0,0.028307,1.32669722192
769.0,0.02827,1.32666971654
